format	millesime	source
edigeo	2017-02-13	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2017-02-13/edigeo/departements/
edigeo	2017-05-14	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2017-05-14/edigeo/departements/
edigeo	2017-07-06	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2017-07-06/edigeo/departements/
edigeo	2017-10-12	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2017-10-12/edigeo/departements/
edigeo	2018-01-02	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2018-01-02/edigeo/departements/
edigeo	2018-04-03	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2018-04-03/edigeo/departements/
edigeo	2018-06-29	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2018-06-29/edigeo/departements/
edigeo	2018-10-01	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2018-10-01/edigeo/departements/
edigeo	2019-01-01	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2019-01-01/edigeo/departements/
edigeo	2019-04-01	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2019-04-01/edigeo/departements/
edigeo	2019-07-01	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2019-07-01/edigeo/departements/
edigeo	2019-10-01	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2019-10-01/edigeo/departements/
edigeo	2020-01-01	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2020-01-01/edigeo/departements/
edigeo	2020-07-01	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2020-07-01/edigeo/departements/
edigeo	2020-10-01	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2020-10-01/edigeo/departements/
edigeo	2021-02-01	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2021-02-01/edigeo/departements/
edigeo	2021-04-01	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2021-04-01/edigeo/departements/
edigeo	2021-07-01	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2021-07-01/edigeo/departements/
edigeo	2021-10-01	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2021-10-01/edigeo/departements/
edigeo	2022-01-01	https://files.data.gouv.fr/cadastre/dgfip-pci-vecteur/2022-01-01/edigeo/departements/
edigeo	2022-04-01	https://cadastre.data.gouv.fr/data/dgfip-pci-vecteur/2022-04-01/edigeo/departements/
edigeo	2022-07-01	https://cadastre.data.gouv.fr/data/dgfip-pci-vecteur/2022-07-01/edigeo/departements/
edigeo	2022-10-01	https://cadastre.data.gouv.fr/data/dgfip-pci-vecteur/2022-10-01/edigeo/departements/
edigeo	2023-01-01	https://cadastre.data.gouv.fr/data/dgfip-pci-vecteur/2023-01-01/edigeo/departements/
edigeo	2023-04-01	https://cadastre.data.gouv.fr/data/dgfip-pci-vecteur/2023-04-01/edigeo/departements/
edigeo	2023-07-01	https://cadastre.data.gouv.fr/data/dgfip-pci-vecteur/2023-07-01/edigeo/departements/
edigeo	2023-10-01	https://cadastre.data.gouv.fr/data/dgfip-pci-vecteur/2023-10-01/edigeo/departements/
edigeo	2024-01-01	https://cadastre.data.gouv.fr/data/dgfip-pci-vecteur/2024-01-01/edigeo/departements/
edigeo	2024-04-01	https://cadastre.data.gouv.fr/data/dgfip-pci-vecteur/2024-04-01/edigeo/departements/
edigeo	2024-07-01	https://cadastre.data.gouv.fr/data/dgfip-pci-vecteur/2024-07-01/edigeo/departements/
edigeo	2024-10-01	https://cadastre.data.gouv.fr/data/dgfip-pci-vecteur/2024-10-01/edigeo/departements/
edigeo	2025-01-01	https://cadastre.data.gouv.fr/data/dgfip-pci-vecteur/2025-01-01/edigeo/departements/
shp	2017-02-13	https://files.data.gouv.fr/cadastre/etalab-cadastre/2017-02-13/shp/departements/
shp	2017-05-14	https://files.data.gouv.fr/cadastre/etalab-cadastre/2017-05-14/shp/departements/
shp	2017-07-06	https://files.data.gouv.fr/cadastre/etalab-cadastre/2017-07-06/shp/departements/
shp	2017-10-12	https://files.data.gouv.fr/cadastre/etalab-cadastre/2017-10-12/shp/departements/
shp	2018-01-02	https://files.data.gouv.fr/cadastre/etalab-cadastre/2018-01-02/shp/departements/
shp	2018-04-03	https://files.data.gouv.fr/cadastre/etalab-cadastre/2018-04-03/shp/departements/
shp	2018-06-29	https://files.data.gouv.fr/cadastre/etalab-cadastre/2018-06-29/shp/departements/
shp	2018-10-01	https://files.data.gouv.fr/cadastre/etalab-cadastre/2018-10-01/shp/departements/
shp	2019-01-01	https://files.data.gouv.fr/cadastre/etalab-cadastre/2019-01-01/shp/departements/
shp	2019-04-01	https://files.data.gouv.fr/cadastre/etalab-cadastre/2019-04-01/shp/departements/
shp	2019-07-01	https://files.data.gouv.fr/cadastre/etalab-cadastre/2019-07-01/shp/departements/
shp	2019-10-01	https://files.data.gouv.fr/cadastre/etalab-cadastre/2019-10-01/shp/departements/
shp	2020-01-01	https://files.data.gouv.fr/cadastre/etalab-cadastre/2020-01-01/shp/departements/
shp	2020-07-01	https://files.data.gouv.fr/cadastre/etalab-cadastre/2020-07-01/shp/departements/
shp	2020-10-01	https://files.data.gouv.fr/cadastre/etalab-cadastre/2020-10-01/shp/departements/
shp	2021-02-01	https://files.data.gouv.fr/cadastre/etalab-cadastre/2021-02-01/shp/departements/
shp	2021-04-01	https://files.data.gouv.fr/cadastre/etalab-cadastre/2021-04-01/shp/departements/
shp	2021-07-01	https://files.data.gouv.fr/cadastre/etalab-cadastre/2021-07-01/shp/departements/
shp	2021-10-01	https://files.data.gouv.fr/cadastre/etalab-cadastre/2021-10-01/shp/departements/
shp	2022-01-01	https://files.data.gouv.fr/cadastre/etalab-cadastre/2022-01-01/shp/departements/
shp	2022-04-01	https://cadastre.data.gouv.fr/data/etalab-cadastre/2022-04-01/shp/departements/
shp	2022-07-01	https://cadastre.data.gouv.fr/data/etalab-cadastre/2022-07-01/shp/departements/
shp	2022-10-01	https://cadastre.data.gouv.fr/data/etalab-cadastre/2022-10-01/shp/departements/
shp	2023-01-01	https://cadastre.data.gouv.fr/data/etalab-cadastre/2023-01-01/shp/departements/
shp	2023-04-01	https://cadastre.data.gouv.fr/data/etalab-cadastre/2023-04-01/shp/departements/
shp	2023-07-01	https://cadastre.data.gouv.fr/data/etalab-cadastre/2023-07-01/shp/departements/
shp	2023-10-01	https://cadastre.data.gouv.fr/data/etalab-cadastre/2023-10-01/shp/departements/
shp	2024-01-01	https://cadastre.data.gouv.fr/data/etalab-cadastre/2024-01-01/shp/departements/
shp	2024-04-01	https://cadastre.data.gouv.fr/data/etalab-cadastre/2024-04-01/shp/departements/
shp	2024-07-01	https://cadastre.data.gouv.fr/data/etalab-cadastre/2024-07-01/shp/departements/
shp	2024-10-01	https://cadastre.data.gouv.fr/data/etalab-cadastre/2024-10-01/shp/departements/
